Report.Number,Date.of.Occurrence,Time.of.Occurrence,City,Crime,Victim.Age,Victim.Gender,Severity,Latitude,Longitude
10929,31-03-2021,6.42,Bangalore,ASSAULT,43,F,3,12.9767936,77.590082
10930,31-03-2021,13.34,Chennai,PUBLIC INTOXICATION,73,F,1,13.0836939,80.270186
10931,31-03-2021,21.23,Hyderabad,SHOPLIFTING,38,F,1,17.360589,78.4740613
10932,31-03-2021,22.39,Pune,ASSAULT,48,M,3,18.5213738,73.8545071
10933,31-03-2021,14.19,Ahmedabad,COUNTERFEITING,68,M,2,23.0215374,72.5800568
10934,31-03-2021,23.02,Kolkata,FIREARM OFFENSE,53,F,2,22.5726459,88.3638953
10935,31-03-2021,19.31,Delhi,ROBBERY,28,F,3,28.6328027,77.2197713
10936,31-03-2021,3.39,Kanpur,COUNTERFEITING,38,F,2,26.4609135,80.3217588
10937,31-03-2021,18.45,Chennai,VEHICLE - STOLEN,35,F,2,13.0836939,80.270186
10938,31-03-2021,15.56,Patna,FRAUD,65,F,2,25.6093239,85.1235252
10939,31-03-2021,19.54,Delhi,VANDALISM,13,F,1,28.6328027,77.2197713
10940,31-03-2021,21.30,Hyderabad,ASSAULT,28,M,3,17.360589,78.4740613
10941,31-03-2021,12.52,Delhi,TRAFFIC VIOLATION,67,M,1,28.6328027,77.2197713
10942,31-03-2021,3.07,Delhi,KIDNAPPING,39,M,3,28.6328027,77.2197713
10943,31-03-2021,20.07,Delhi,FIREARM OFFENSE,43,F,2,28.6328027,77.2197713
10944,31-03-2021,5.30,Pune,IDENTITY THEFT,31,M,1,18.5213738,73.8545071
10945,04-01-2021,8.30,Delhi,ASSAULT,78,F,3,28.6328027,77.2197713
10946,04-01-2021,11.54,Kolkata,FRAUD,17,F,2,22.5726459,88.3638953
10947,04-01-2021,13.08,Chennai,BURGLARY,79,F,2,13.0836939,80.270186
10948,04-01-2021,2.30,Jaipur,HOMICIDE,41,M,3,26.9154576,75.8189817
10949,04-01-2021,19.34,Hyderabad,FIREARM OFFENSE,68,F,2,17.360589,78.4740613
10950,04-01-2021,23.54,Mumbai,KIDNAPPING,54,M,3,19.054999,72.8692035
10951,04-01-2021,16.36,Hyderabad,FIREARM OFFENSE,14,F,2,17.360589,78.4740613
10952,04-01-2021,11.03,Pune,SEXUAL ASSAULT,36,F,3,18.5213738,73.8545071
10953,04-01-2021,12.32,Bangalore,PUBLIC INTOXICATION,22,M,1,12.9767936,77.590082
10954,04-01-2021,4.32,Chennai,SHOPLIFTING,50,M,1,13.0836939,80.270186
10955,04-01-2021,11.19,Hyderabad,HOMICIDE,78,F,3,17.360589,78.4740613
10956,04-01-2021,3.20,Srinagar,CYBERCRIME,37,F,2,34.0747444,74.8204443
10957,04-01-2021,2.11,Thane,DOMESTIC VIOLENCE,34,M,3,19.1943294,72.9701779
10958,04-01-2021,22.46,Delhi,COUNTERFEITING,19,F,2,28.6328027,77.2197713
10959,04-01-2021,6.37,Indore,ROBBERY,41,F,3,22.7203616,75.8681996
10960,04-01-2021,23.24,Bangalore,PUBLIC INTOXICATION,49,F,1,12.9767936,77.590082
10961,04-01-2021,5.08,Chennai,ASSAULT,26,M,3,13.0836939,80.270186
10962,04-01-2021,23.44,Pune,FRAUD,47,F,2,18.5213738,73.8545071
10963,04-01-2021,2.38,Srinagar,KIDNAPPING,71,F,3,34.0747444,74.8204443
10964,04-01-2021,7.10,Kanpur,DRUG OFFENSE,27,M,2,26.4609135,80.3217588
10965,04-01-2021,16.52,Kolkata,VANDALISM,19,F,1,22.5726459,88.3638953
10966,04-01-2021,0.11,Meerut,TRAFFIC VIOLATION,76,F,1,29.0018557,77.7679671
10967,04-01-2021,19.12,Ahmedabad,ARSON,39,F,3,23.0215374,72.5800568
10968,04-01-2021,0.35,Chennai,ROBBERY,37,F,3,13.0836939,80.270186
10969,04-02-2021,18.47,Chennai,FIREARM OFFENSE,38,F,2,13.0836939,80.270186
10970,04-02-2021,19.32,Thane,DOMESTIC VIOLENCE,28,F,3,19.1943294,72.9701779
10971,04-02-2021,13.55,Thane,VEHICLE - STOLEN,70,F,2,19.1943294,72.9701779
10972,04-02-2021,14.25,Indore,HOMICIDE,77,F,3,22.7203616,75.8681996
10973,04-02-2021,3.41,Visakhapatnam,COUNTERFEITING,38,F,2,17.6935526,83.2921297
10974,04-02-2021,20.14,Varanasi,EXTORTION,23,F,3,25.3356491,83.0076292
10975,04-02-2021,18.11,Bangalore,DOMESTIC VIOLENCE,10,F,3,12.9767936,77.590082
10976,04-02-2021,9.22,Pune,CYBERCRIME,51,M,2,18.5213738,73.8545071
10977,04-02-2021,19.42,Surat,VEHICLE - STOLEN,63,M,2,21.2094892,72.8317058
10978,04-02-2021,18.49,Vasai,EXTORTION,18,F,3,19.3428238,72.805441
10979,04-02-2021,12.22,Bangalore,HOMICIDE,56,M,3,12.9767936,77.590082
10980,04-02-2021,11.45,Bhopal,ILLEGAL POSSESSION,45,M,2,23.2584857,77.401989
10981,04-02-2021,17.00,Hyderabad,SHOPLIFTING,20,F,1,17.360589,78.4740613
10982,04-02-2021,16.19,Chennai,ILLEGAL POSSESSION,25,M,2,13.0836939,80.270186
10983,04-02-2021,5.04,Visakhapatnam,ASSAULT,32,M,3,17.6935526,83.2921297
10984,04-02-2021,11.00,Bangalore,FRAUD,59,F,2,12.9767936,77.590082
10985,04-02-2021,20.49,Ahmedabad,TRAFFIC VIOLATION,34,F,1,23.0215374,72.5800568
10986,04-02-2021,16.59,Indore,TRAFFIC VIOLATION,13,F,1,22.7203616,75.8681996
10987,04-02-2021,2.28,Kolkata,TRAFFIC VIOLATION,59,M,1,22.5726459,88.3638953
10988,04-02-2021,16.13,Agra,TRAFFIC VIOLATION,25,F,1,27.1752554,78.0098161
10989,04-02-2021,6.04,Kolkata,DOMESTIC VIOLENCE,18,F,3,22.5726459,88.3638953
10990,04-02-2021,14.41,Delhi,DOMESTIC VIOLENCE,43,M,3,28.6328027,77.2197713
10991,04-02-2021,7.07,Hyderabad,DRUG OFFENSE,18,F,2,17.360589,78.4740613
10992,04-02-2021,12.54,Mumbai,FRAUD,26,M,2,19.054999,72.8692035
10993,04-03-2021,2.02,Ahmedabad,SEXUAL ASSAULT,31,M,3,23.0215374,72.5800568
10994,04-03-2021,11.06,Delhi,ILLEGAL POSSESSION,56,F,2,28.6328027,77.2197713
10995,04-03-2021,13.34,Patna,FIREARM OFFENSE,53,F,2,25.6093239,85.1235252
10996,04-03-2021,12.26,Agra,IDENTITY THEFT,69,F,1,27.1752554,78.0098161
10997,04-03-2021,22.37,Delhi,ASSAULT,70,F,3,28.6328027,77.2197713
10998,04-03-2021,1.06,Delhi,TRAFFIC VIOLATION,22,F,1,28.6328027,77.2197713
10999,04-03-2021,1.19,Mumbai,HOMICIDE,71,M,3,19.054999,72.8692035
11000,04-03-2021,2.38,Bangalore,SHOPLIFTING,21,F,1,12.9767936,77.590082
11001,04-03-2021,7.10,Chennai,KIDNAPPING,28,F,3,13.0836939,80.270186
11002,04-03-2021,20.45,Bangalore,IDENTITY THEFT,47,F,1,12.9767936,77.590082
11003,04-03-2021,17.47,Jaipur,ROBBERY,65,F,3,26.9154576,75.8189817
11004,04-03-2021,17.44,Rajkot,PUBLIC INTOXICATION,53,F,1,22.3053263,70.8028377
11005,04-03-2021,20.15,Ludhiana,DOMESTIC VIOLENCE,21,F,3,30.9090157,75.851601
11006,04-03-2021,10.29,Bangalore,DOMESTIC VIOLENCE,68,M,3,12.9767936,77.590082
11007,04-03-2021,2.58,Visakhapatnam,BURGLARY,43,M,2,17.6935526,83.2921297
11008,04-03-2021,4.16,Mumbai,BURGLARY,53,F,2,19.054999,72.8692035
11009,04-03-2021,19.41,Delhi,VEHICLE - STOLEN,43,F,2,28.6328027,77.2197713
11010,04-03-2021,16.23,Bangalore,BURGLARY,21,F,2,12.9767936,77.590082
11011,04-03-2021,4.55,Kanpur,ASSAULT,22,F,3,26.4609135,80.3217588
11012,04-03-2021,21.42,Hyderabad,DRUG OFFENSE,65,F,2,17.360589,78.4740613
11013,04-03-2021,3.13,Chennai,ARSON,10,F,3,13.0836939,80.270186
11014,04-03-2021,16.17,Mumbai,DRUG OFFENSE,73,F,2,19.054999,72.8692035
11015,04-03-2021,10.02,Lucknow,ARSON,30,F,3,26.8381,80.9346001
11016,04-03-2021,13.10,Kolkata,BURGLARY,28,F,2,22.5726459,88.3638953
11017,04-04-2021,11.47,Visakhapatnam,ROBBERY,13,M,3,17.6935526,83.2921297
11018,04-04-2021,2.01,Bangalore,PUBLIC INTOXICATION,20,M,1,12.9767936,77.590082
11019,04-04-2021,18.20,Jaipur,VANDALISM,41,M,1,26.9154576,75.8189817
11020,04-04-2021,17.42,Nashik,FRAUD,34,M,2,20.0112475,73.7902364
11021,04-04-2021,1.24,Chennai,SEXUAL ASSAULT,31,M,3,13.0836939,80.270186
11022,04-04-2021,8.10,Patna,IDENTITY THEFT,39,F,1,25.6093239,85.1235252
11023,04-04-2021,5.14,Indore,KIDNAPPING,57,F,3,22.7203616,75.8681996
11024,04-04-2021,0.28,Ahmedabad,FRAUD,37,F,2,23.0215374,72.5800568
11025,04-04-2021,12.30,Agra,SEXUAL ASSAULT,70,M,3,27.1752554,78.0098161
11026,04-04-2021,6.34,Chennai,BURGLARY,22,F,2,13.0836939,80.270186
11027,04-04-2021,12.52,Lucknow,EXTORTION,56,F,3,26.8381,80.9346001
11028,04-04-2021,3.12,Kolkata,HOMICIDE,21,F,3,22.5726459,88.3638953
11029,04-04-2021,21.17,Kolkata,SHOPLIFTING,78,F,1,22.5726459,88.3638953
11030,04-04-2021,17.35,Mumbai,ASSAULT,40,F,3,19.054999,72.8692035
11031,04-04-2021,0.42,Delhi,FRAUD,44,F,2,28.6328027,77.2197713
11032,04-04-2021,3.38,Mumbai,SHOPLIFTING,60,F,1,19.054999,72.8692035
11033,04-04-2021,8.33,Chennai,DOMESTIC VIOLENCE,15,M,3,13.0836939,80.270186
11034,04-04-2021,22.58,Thane,COUNTERFEITING,74,F,2,19.1943294,72.9701779
11035,04-04-2021,0.49,Agra,HOMICIDE,31,F,3,27.1752554,78.0098161
11036,04-04-2021,5.51,Mumbai,ILLEGAL POSSESSION,38,F,2,19.054999,72.8692035
11037,04-04-2021,14.11,Delhi,FRAUD,54,F,2,28.6328027,77.2197713
11038,04-04-2021,15.45,Hyderabad,DRUG OFFENSE,29,M,2,17.360589,78.4740613
11039,04-04-2021,0.57,Bangalore,SEXUAL ASSAULT,13,F,3,12.9767936,77.590082
11040,04-04-2021,21.14,Hyderabad,VANDALISM,70,M,1,17.360589,78.4740613
11041,04-05-2021,7.03,Visakhapatnam,VANDALISM,60,M,1,17.6935526,83.2921297
11042,04-05-2021,2.33,Bangalore,COUNTERFEITING,71,F,2,12.9767936,77.590082
11043,04-05-2021,2.57,Ghaziabad,SEXUAL ASSAULT,16,M,3,28.7749966,77.4586967
11044,04-05-2021,8.00,Mumbai,VEHICLE - STOLEN,14,M,2,19.054999,72.8692035
11045,04-05-2021,2.27,Delhi,HOMICIDE,59,F,3,28.6328027,77.2197713
11046,04-05-2021,14.20,Delhi,VEHICLE - STOLEN,26,F,2,28.6328027,77.2197713
11047,04-05-2021,17.11,Delhi,VEHICLE - STOLEN,36,F,2,28.6328027,77.2197713
11048,04-05-2021,6.48,Hyderabad,VANDALISM,62,M,1,17.360589,78.4740613
11049,04-05-2021,10.34,Surat,DOMESTIC VIOLENCE,74,F,3,21.2094892,72.8317058
11050,04-05-2021,4.37,Pune,KIDNAPPING,59,F,3,18.5213738,73.8545071
11051,04-05-2021,8.19,Bangalore,DOMESTIC VIOLENCE,32,F,3,12.9767936,77.590082
11052,04-05-2021,19.19,Bangalore,SHOPLIFTING,17,F,1,12.9767936,77.590082
11053,04-05-2021,13.48,Kolkata,ROBBERY,35,M,3,22.5726459,88.3638953
11054,04-05-2021,4.06,Hyderabad,CYBERCRIME,24,F,2,17.360589,78.4740613
11055,04-05-2021,22.46,Bangalore,VEHICLE - STOLEN,57,F,2,12.9767936,77.590082
11056,04-05-2021,5.57,Indore,FRAUD,26,M,2,22.7203616,75.8681996
11057,04-05-2021,16.03,Meerut,BURGLARY,41,F,2,29.0018557,77.7679671
11058,04-05-2021,13.59,Mumbai,VANDALISM,42,F,1,19.054999,72.8692035
11059,04-05-2021,14.16,Bangalore,BURGLARY,10,F,2,12.9767936,77.590082
11060,04-05-2021,2.06,Delhi,ROBBERY,69,F,3,28.6328027,77.2197713
11061,04-05-2021,6.03,Kolkata,SEXUAL ASSAULT,72,F,3,22.5726459,88.3638953
11062,04-05-2021,19.23,Delhi,FIREARM OFFENSE,11,F,2,28.6328027,77.2197713
11063,04-05-2021,23.59,Hyderabad,ROBBERY,10,F,3,17.360589,78.4740613
11064,04-05-2021,7.45,Ludhiana,ILLEGAL POSSESSION,37,M,2,30.9090157,75.851601
11065,04-06-2021,14.38,Surat,VANDALISM,36,F,1,21.2094892,72.8317058
11066,04-06-2021,6.11,Ghaziabad,VEHICLE - STOLEN,56,M,2,28.7749966,77.4586967
11067,04-06-2021,16.11,Agra,ILLEGAL POSSESSION,76,M,2,27.1752554,78.0098161
11068,04-06-2021,12.16,Delhi,KIDNAPPING,28,M,3,28.6328027,77.2197713
11069,04-06-2021,17.21,Patna,ASSAULT,70,F,3,25.6093239,85.1235252
11070,04-06-2021,2.43,Lucknow,VEHICLE - STOLEN,72,F,2,26.8381,80.9346001
11071,04-06-2021,4.54,Hyderabad,HOMICIDE,42,M,3,17.360589,78.4740613
11072,04-06-2021,18.49,Lucknow,COUNTERFEITING,13,M,2,26.8381,80.9346001
11073,04-06-2021,16.24,Meerut,FIREARM OFFENSE,16,F,2,29.0018557,77.7679671
11074,04-06-2021,2.59,Bangalore,KIDNAPPING,30,F,3,12.9767936,77.590082
11075,04-06-2021,9.19,Pune,TRAFFIC VIOLATION,56,M,1,18.5213738,73.8545071
11076,04-06-2021,2.59,Mumbai,ARSON,11,M,3,19.054999,72.8692035
11077,04-06-2021,22.15,Mumbai,EXTORTION,65,F,3,19.054999,72.8692035
11078,04-06-2021,18.47,Kolkata,EXTORTION,79,M,3,22.5726459,88.3638953
11079,04-06-2021,23.03,Chennai,TRAFFIC VIOLATION,54,M,1,13.0836939,80.270186
11080,04-06-2021,9.01,Ahmedabad,VANDALISM,31,F,1,23.0215374,72.5800568
11081,04-06-2021,17.10,Kolkata,COUNTERFEITING,33,F,2,22.5726459,88.3638953
11082,04-06-2021,3.27,Mumbai,ROBBERY,19,M,3,19.054999,72.8692035
11083,04-06-2021,0.14,Lucknow,VANDALISM,42,M,1,26.8381,80.9346001
11084,04-06-2021,16.23,Surat,KIDNAPPING,26,M,3,21.2094892,72.8317058
11085,04-06-2021,5.49,Srinagar,PUBLIC INTOXICATION,61,F,1,34.0747444,74.8204443
11086,04-06-2021,3.56,Lucknow,ROBBERY,69,M,3,26.8381,80.9346001
11087,04-06-2021,19.39,Lucknow,ILLEGAL POSSESSION,43,F,2,26.8381,80.9346001
11088,04-06-2021,14.39,Vasai,BURGLARY,58,M,2,19.3428238,72.805441
11089,04-07-2021,17.14,Thane,ROBBERY,38,F,3,19.1943294,72.9701779
11090,04-07-2021,15.14,Nagpur,EXTORTION,79,M,3,21.1498134,79.0820556
11091,04-07-2021,5.53,Delhi,IDENTITY THEFT,44,F,1,28.6328027,77.2197713
11092,04-07-2021,19.08,Ahmedabad,VEHICLE - STOLEN,60,F,2,23.0215374,72.5800568
11093,04-07-2021,18.40,Chennai,HOMICIDE,23,M,3,13.0836939,80.270186
11094,04-07-2021,11.03,Bangalore,ILLEGAL POSSESSION,44,M,2,12.9767936,77.590082
11095,04-07-2021,6.40,Indore,SHOPLIFTING,12,F,1,22.7203616,75.8681996
11096,04-07-2021,3.05,Mumbai,VANDALISM,28,F,1,19.054999,72.8692035
11097,04-07-2021,13.38,Delhi,SHOPLIFTING,70,F,1,28.6328027,77.2197713
11098,04-07-2021,12.04,Ahmedabad,PUBLIC INTOXICATION,70,F,1,23.0215374,72.5800568
11099,04-07-2021,19.56,Jaipur,SEXUAL ASSAULT,74,F,3,26.9154576,75.8189817
11100,04-07-2021,8.40,Surat,IDENTITY THEFT,71,M,1,21.2094892,72.8317058
11101,04-07-2021,16.34,Hyderabad,HOMICIDE,63,M,3,17.360589,78.4740613
11102,04-07-2021,16.33,Nagpur,ILLEGAL POSSESSION,15,F,2,21.1498134,79.0820556
11103,04-07-2021,22.03,Pune,ARSON,14,F,3,18.5213738,73.8545071
11104,04-07-2021,0.53,Delhi,TRAFFIC VIOLATION,33,F,1,28.6328027,77.2197713
11105,04-07-2021,9.20,Pune,FIREARM OFFENSE,36,F,2,18.5213738,73.8545071
11106,04-07-2021,16.16,Pune,VEHICLE - STOLEN,27,F,2,18.5213738,73.8545071
11107,04-07-2021,11.46,Patna,IDENTITY THEFT,24,F,1,25.6093239,85.1235252
11108,04-07-2021,1.15,Ahmedabad,DRUG OFFENSE,57,F,2,23.0215374,72.5800568
11109,04-07-2021,16.20,Mumbai,ILLEGAL POSSESSION,48,F,2,19.054999,72.8692035
11110,04-07-2021,12.00,Pune,CYBERCRIME,68,F,2,18.5213738,73.8545071
11111,04-07-2021,11.38,Jaipur,FIREARM OFFENSE,44,F,2,26.9154576,75.8189817
11112,04-07-2021,5.14,Ludhiana,HOMICIDE,23,M,3,30.9090157,75.851601
11113,04-08-2021,23.10,Mumbai,TRAFFIC VIOLATION,12,M,1,19.054999,72.8692035
11114,04-08-2021,4.38,Agra,ARSON,26,F,3,27.1752554,78.0098161
11115,04-08-2021,16.28,Delhi,IDENTITY THEFT,72,F,1,28.6328027,77.2197713
11116,04-08-2021,16.02,Delhi,TRAFFIC VIOLATION,62,F,1,28.6328027,77.2197713
11117,04-08-2021,21.04,Chennai,TRAFFIC VIOLATION,38,M,1,13.0836939,80.270186
11118,04-08-2021,17.40,Ghaziabad,IDENTITY THEFT,64,M,1,28.7749966,77.4586967
11119,04-08-2021,19.51,Hyderabad,VANDALISM,28,F,1,17.360589,78.4740613
11120,04-08-2021,4.09,Agra,PUBLIC INTOXICATION,20,M,1,27.1752554,78.0098161
11121,04-08-2021,17.13,Jaipur,FRAUD,51,F,2,26.9154576,75.8189817
11122,04-08-2021,22.44,Jaipur,CYBERCRIME,18,M,2,26.9154576,75.8189817
11123,04-08-2021,9.37,Chennai,ARSON,46,M,3,13.0836939,80.270186
11124,04-08-2021,2.42,Mumbai,ARSON,29,F,3,19.054999,72.8692035
11125,04-08-2021,5.12,Mumbai,FRAUD,12,M,2,19.054999,72.8692035
11126,04-08-2021,16.45,Mumbai,IDENTITY THEFT,58,M,1,19.054999,72.8692035
11127,04-08-2021,12.19,Kanpur,SEXUAL ASSAULT,65,F,3,26.4609135,80.3217588
11128,04-08-2021,15.12,Kolkata,COUNTERFEITING,57,M,2,22.5726459,88.3638953
11129,04-08-2021,3.29,Mumbai,BURGLARY,28,F,2,19.054999,72.8692035
11130,04-08-2021,4.11,Mumbai,VANDALISM,37,F,1,19.054999,72.8692035
11131,04-08-2021,8.50,Ludhiana,FRAUD,33,F,2,30.9090157,75.851601
11132,04-08-2021,11.29,Delhi,ASSAULT,44,M,3,28.6328027,77.2197713
11133,04-08-2021,7.08,Mumbai,TRAFFIC VIOLATION,61,F,1,19.054999,72.8692035
11134,04-08-2021,2.32,Kanpur,FRAUD,21,M,2,26.4609135,80.3217588
11135,04-08-2021,13.54,Agra,SHOPLIFTING,33,M,1,27.1752554,78.0098161
11136,04-08-2021,16.29,Srinagar,SEXUAL ASSAULT,76,F,3,34.0747444,74.8204443
11137,04-09-2021,6.11,Chennai,CYBERCRIME,30,M,2,13.0836939,80.270186
11138,04-09-2021,10.45,Agra,ASSAULT,51,F,3,27.1752554,78.0098161
11139,04-09-2021,20.16,Mumbai,IDENTITY THEFT,35,M,1,19.054999,72.8692035
11140,04-09-2021,22.13,Mumbai,BURGLARY,79,F,2,19.054999,72.8692035
11141,04-09-2021,20.10,Hyderabad,IDENTITY THEFT,13,F,1,17.360589,78.4740613
11142,04-09-2021,4.58,Meerut,BURGLARY,20,M,2,29.0018557,77.7679671
11143,04-09-2021,6.29,Pune,VEHICLE - STOLEN,63,M,2,18.5213738,73.8545071
11144,04-09-2021,2.06,Patna,SHOPLIFTING,63,F,1,25.6093239,85.1235252
11145,04-09-2021,12.46,Delhi,KIDNAPPING,11,F,3,28.6328027,77.2197713
11146,04-09-2021,20.49,Nagpur,FIREARM OFFENSE,43,F,2,21.1498134,79.0820556
11147,04-09-2021,10.54,Pune,FRAUD,20,M,2,18.5213738,73.8545071
11148,04-09-2021,14.36,Chennai,DOMESTIC VIOLENCE,14,M,3,13.0836939,80.270186
11149,04-09-2021,23.01,Chennai,TRAFFIC VIOLATION,39,F,1,13.0836939,80.270186
11150,04-09-2021,1.39,Pune,HOMICIDE,27,F,3,18.5213738,73.8545071
11151,04-09-2021,9.04,Kanpur,SHOPLIFTING,10,F,1,26.4609135,80.3217588
11152,04-09-2021,17.05,Kanpur,VANDALISM,59,F,1,26.4609135,80.3217588
11153,04-09-2021,10.48,Agra,TRAFFIC VIOLATION,64,F,1,27.1752554,78.0098161
11154,04-09-2021,14.22,Ahmedabad,DRUG OFFENSE,79,M,2,23.0215374,72.5800568
11155,04-09-2021,17.05,Bangalore,ASSAULT,73,F,3,12.9767936,77.590082
11156,04-09-2021,12.22,Bhopal,ARSON,24,F,3,23.2584857,77.401989
11157,04-09-2021,21.20,Kolkata,PUBLIC INTOXICATION,64,M,1,22.5726459,88.3638953
11158,04-09-2021,23.26,Bangalore,VEHICLE - STOLEN,71,F,2,12.9767936,77.590082
11159,04-09-2021,12.12,Delhi,HOMICIDE,58,F,3,28.6328027,77.2197713
11160,04-09-2021,20.59,Pune,DOMESTIC VIOLENCE,47,F,3,18.5213738,73.8545071
11161,04-10-2021,5.34,Delhi,SEXUAL ASSAULT,32,F,3,28.6328027,77.2197713
11162,04-10-2021,2.32,Mumbai,FRAUD,13,F,2,19.054999,72.8692035
11163,04-10-2021,11.23,Pune,VEHICLE - STOLEN,26,F,2,18.5213738,73.8545071
11164,04-10-2021,6.22,Delhi,ASSAULT,18,M,3,28.6328027,77.2197713
11165,04-10-2021,19.03,Bhopal,IDENTITY THEFT,72,F,1,23.2584857,77.401989
11166,04-10-2021,11.03,Kolkata,EXTORTION,47,F,3,22.5726459,88.3638953
11167,04-10-2021,6.44,Jaipur,FRAUD,17,F,2,26.9154576,75.8189817
11168,04-10-2021,21.15,Bangalore,ASSAULT,69,F,3,12.9767936,77.590082
11169,04-10-2021,23.04,Visakhapatnam,TRAFFIC VIOLATION,61,F,1,17.6935526,83.2921297
11170,04-10-2021,7.41,Lucknow,SHOPLIFTING,70,F,1,26.8381,80.9346001
11171,04-10-2021,13.42,Kolkata,IDENTITY THEFT,14,F,1,22.5726459,88.3638953
11172,04-10-2021,19.57,Pune,VANDALISM,40,F,1,18.5213738,73.8545071
11173,04-10-2021,2.13,Ahmedabad,VANDALISM,68,M,1,23.0215374,72.5800568
11174,04-10-2021,4.30,Surat,SHOPLIFTING,71,F,1,21.2094892,72.8317058
11175,04-10-2021,16.57,Bangalore,VEHICLE - STOLEN,76,F,2,12.9767936,77.590082
11176,04-10-2021,12.19,Surat,ASSAULT,37,M,3,21.2094892,72.8317058
11177,04-10-2021,16.30,Hyderabad,IDENTITY THEFT,18,F,1,17.360589,78.4740613
11178,04-10-2021,23.59,Hyderabad,VEHICLE - STOLEN,61,F,2,17.360589,78.4740613
11179,04-10-2021,6.36,Thane,ILLEGAL POSSESSION,79,M,2,19.1943294,72.9701779
11180,04-10-2021,19.06,Delhi,TRAFFIC VIOLATION,18,F,1,28.6328027,77.2197713
11181,04-10-2021,5.14,Jaipur,HOMICIDE,54,F,3,26.9154576,75.8189817
11182,04-10-2021,21.18,Agra,ASSAULT,32,F,3,27.1752554,78.0098161
11183,04-10-2021,19.36,Chennai,ASSAULT,37,M,3,13.0836939,80.270186
11184,04-10-2021,4.50,Lucknow,ROBBERY,24,M,3,26.8381,80.9346001
11185,04-11-2021,15.10,Bhopal,SHOPLIFTING,76,F,1,23.2584857,77.401989
11186,04-11-2021,5.47,Mumbai,ASSAULT,28,F,3,19.054999,72.8692035
11187,04-11-2021,2.25,Visakhapatnam,FRAUD,35,F,2,17.6935526,83.2921297
11188,04-11-2021,16.03,Hyderabad,SEXUAL ASSAULT,19,F,3,17.360589,78.4740613
11189,04-11-2021,15.54,Delhi,SHOPLIFTING,26,F,1,28.6328027,77.2197713
11190,04-11-2021,10.57,Chennai,DRUG OFFENSE,68,F,2,13.0836939,80.270186
11191,04-11-2021,5.31,Pune,ROBBERY,14,F,3,18.5213738,73.8545071
11192,04-11-2021,22.52,Mumbai,BURGLARY,77,M,2,19.054999,72.8692035
11193,04-11-2021,8.53,Indore,VEHICLE - STOLEN,39,F,2,22.7203616,75.8681996
11194,04-11-2021,15.12,Bangalore,ASSAULT,25,F,3,12.9767936,77.590082
11195,04-11-2021,16.33,Mumbai,CYBERCRIME,12,F,2,19.054999,72.8692035
11196,04-11-2021,0.38,Delhi,KIDNAPPING,71,F,3,28.6328027,77.2197713
11197,04-11-2021,19.02,Kanpur,COUNTERFEITING,53,F,2,26.4609135,80.3217588
11198,04-11-2021,20.08,Hyderabad,CYBERCRIME,50,M,2,17.360589,78.4740613
11199,04-11-2021,5.34,Kanpur,VEHICLE - STOLEN,37,F,2,26.4609135,80.3217588
11200,04-11-2021,14.16,Visakhapatnam,SHOPLIFTING,65,F,1,17.6935526,83.2921297
11201,04-11-2021,14.37,Kanpur,FIREARM OFFENSE,65,F,2,26.4609135,80.3217588
11202,04-11-2021,17.16,Lucknow,BURGLARY,60,F,2,26.8381,80.9346001
11203,04-11-2021,8.58,Nagpur,SHOPLIFTING,55,F,1,21.1498134,79.0820556
11204,04-11-2021,7.22,Varanasi,ROBBERY,14,M,3,25.3356491,83.0076292
11205,04-11-2021,14.25,Delhi,COUNTERFEITING,48,F,2,28.6328027,77.2197713
11206,04-11-2021,2.51,Chennai,DRUG OFFENSE,41,M,2,13.0836939,80.270186
11207,04-11-2021,5.38,Delhi,VANDALISM,65,M,1,28.6328027,77.2197713
11208,04-11-2021,2.56,Agra,FRAUD,23,F,2,27.1752554,78.0098161
11209,04-12-2021,4.18,Indore,VEHICLE - STOLEN,19,F,2,22.7203616,75.8681996
11210,04-12-2021,4.53,Indore,IDENTITY THEFT,53,F,1,22.7203616,75.8681996
11211,04-12-2021,5.32,Indore,ILLEGAL POSSESSION,76,F,2,22.7203616,75.8681996
11212,04-12-2021,8.53,Delhi,SHOPLIFTING,77,M,1,28.6328027,77.2197713
11213,04-12-2021,3.13,Chennai,EXTORTION,45,M,3,13.0836939,80.270186
11214,04-12-2021,3.14,Delhi,BURGLARY,67,F,2,28.6328027,77.2197713
11215,04-12-2021,15.56,Mumbai,ILLEGAL POSSESSION,36,F,2,19.054999,72.8692035
11216,04-12-2021,10.01,Vasai,SHOPLIFTING,39,M,1,19.3428238,72.805441
11217,04-12-2021,7.23,Delhi,BURGLARY,61,F,2,28.6328027,77.2197713
11218,04-12-2021,22.56,Chennai,SHOPLIFTING,13,F,1,13.0836939,80.270186
11219,04-12-2021,21.28,Chennai,DRUG OFFENSE,10,F,2,13.0836939,80.270186
11220,04-12-2021,14.59,Srinagar,VEHICLE - STOLEN,15,F,2,34.0747444,74.8204443
11221,04-12-2021,16.37,Lucknow,PUBLIC INTOXICATION,45,F,1,26.8381,80.9346001
11222,04-12-2021,17.40,Kalyan,EXTORTION,40,F,3,19.2396742,73.1366482
11223,04-12-2021,10.51,Vasai,BURGLARY,76,F,2,19.3428238,72.805441
